#TimeHarp 260  Histogram Data			06.08.2020 16:16:23
#channels per curve
32768
#display curve no.
0	1	
#memory block no.
0	1	
#ns/bin
0,0250	0,0250	
#counts
30	31	
35	30	
27	31	
30	31	
36	40	
30	37	
35	29	
19	33	
37	36	
37	37	
33	34	
39	23	
37	35	
30	28	
38	36	
33	30	
32	37	
36	30	
37	43	
34	39	
30	32	
31	38	
35	37	
35	24	
28	38	
40	38	
36	35	
41	34	
25	32	
35	41	
42	43	
37	33	
34	48	
37	29	
39	31	
40	36	
43	46	
31	43	
29	39	
41	30	
35	33	
30	41	
30	32	
35	37	
40	34	
42	40	
27	37	
38	25	
35	45	
26	41	
31	29	
30	30	
33	36	
26	53	
24	33	
36	34	
35	40	
39	43	
34	35	
34	46	
31	41	
15	37	
34	28	
46	39	
45	31	
29	26	
25	37	
30	34	
31	35	
35	41	
40	33	
23	42	
35	32	
34	38	
27	43	
29	36	
21	32	
24	36	
41	31	
40	39	
34	44	
43	28	
43	37	
48	26	
38	33	
40	28	
39	37	
31	40	
30	38	
32	43	
36	32	
39	46	
23	31	
40	32	
49	40	
29	36	
27	32	
38	43	
39	34	
34	37	
29	37	
27	31	
31	47	
26	30	
35	29	
39	33	
27	22	
36	42	
32	38	
35	33	
39	37	
41	31	
32	30	
32	34	
35	43	
38	35	
35	36	
31	33	
28	33	
36	34	
35	33	
28	37	
37	34	
27	29	
40	44	
35	45	
35	44	
36	28	
35	47	
45	29	
37	42	
34	37	
43	38	
48	36	
34	34	
39	38	
40	41	
48	35	
31	37	
35	33	
36	40	
34	24	
29	28	
31	42	
33	38	
39	25	
31	44	
35	33	
40	31	
35	43	
31	27	
47	35	
38	42	
38	27	
41	32	
37	33	
32	26	
38	25	
29	42	
30	33	
34	35	
43	34	
25	35	
43	37	
39	43	
29	51	
25	31	
34	29	
29	38	
25	34	
25	37	
39	34	
31	44	
38	36	
40	44	
36	25	
33	39	
34	34	
23	37	
37	37	
30	39	
33	48	
36	35	
33	45	
36	34	
37	39	
27	29	
35	33	
22	38	
42	33	
30	28	
43	38	
31	26	
48	43	
41	47	
35	37	
29	33	
26	36	
39	32	
37	35	
47	30	
27	38	
30	27	
41	35	
32	33	
33	30	
38	45	
33	51	
31	46	
29	40	
28	39	
28	39	
23	31	
36	25	
