Egy	FR0.25T	FR0.5T	FR0.75T	FR1T	FR1.2T	FR1.4T	
2.2556	-0.04601	-0.099784	-0.15151	-0.19956	-0.23729	-0.28233
2.2545	-0.045561	-0.1012	-0.15236	-0.20066	-0.23893	-0.28108
2.2533	-0.043019	-0.099552	-0.14958	-0.19844	-0.23607	-0.27853
2.2522	-0.044318	-0.098854	-0.15085	-0.19996	-0.23691	-0.27573
2.2511	-0.042602	-0.10039	-0.15151	-0.2002	-0.23656	-0.27789
2.2499	-0.043669	-0.098902	-0.15171	-0.20024	-0.23654	-0.27935
2.2488	-0.046926	-0.10176	-0.15003	-0.20017	-0.24001	-0.27882
2.2476	-0.042123	-0.10243	-0.15188	-0.19953	-0.23693	-0.2779
2.2465	-0.044491	-0.099187	-0.14896	-0.19871	-0.23601	-0.27591
2.2454	-0.041778	-0.098701	-0.15026	-0.19811	-0.23652	-0.27823
2.2442	-0.042804	-0.10012	-0.14999	-0.19649	-0.23548	-0.27589
2.2431	-0.04431	-0.099683	-0.15016	-0.19716	-0.23386	-0.27774
2.242	-0.04333	-0.10094	-0.14855	-0.19715	-0.23889	-0.2769
2.2409	-0.045247	-0.10012	-0.14809	-0.19845	-0.2362	-0.27782
2.2397	-0.044033	-0.097466	-0.14793	-0.19396	-0.2372	-0.27718
2.2386	-0.043554	-0.09845	-0.15011	-0.19537	-0.23565	-0.27422
2.2375	-0.041032	-0.098138	-0.14487	-0.19507	-0.23308	-0.27388
2.2364	-0.042134	-0.097739	-0.14738	-0.19861	-0.23637	-0.2755
2.2352	-0.0415	-0.099709	-0.14825	-0.19538	-0.23303	-0.27369
2.2341	-0.043421	-0.098519	-0.14685	-0.19439	-0.23265	-0.27389
2.233	-0.041786	-0.094648	-0.14795	-0.19308	-0.23383	-0.27403
2.2319	-0.042619	-0.096123	-0.14674	-0.19144	-0.23349	-0.27328
2.2308	-0.042195	-0.099137	-0.14757	-0.19429	-0.2322	-0.27327
2.2296	-0.041152	-0.095731	-0.14478	-0.19434	-0.23308	-0.27223
2.2285	-0.042115	-0.09798	-0.1469	-0.19265	-0.23221	-0.27262
2.2274	-0.044198	-0.096988	-0.14821	-0.19474	-0.23344	-0.2719
2.2263	-0.04154	-0.095802	-0.14831	-0.19411	-0.23342	-0.2734
2.2252	-0.041906	-0.097308	-0.14647	-0.19429	-0.23218	-0.27308
2.2241	-0.040699	-0.095937	-0.14804	-0.19341	-0.23405	-0.2725
2.223	-0.041204	-0.095769	-0.14551	-0.19503	-0.23231	-0.26987
2.2218	-0.042341	-0.097955	-0.14716	-0.19315	-0.2323	-0.27053
2.2207	-0.041521	-0.097064	-0.14787	-0.19465	-0.23231	-0.27169
2.2196	-0.043886	-0.094943	-0.14474	-0.1916	-0.23225	-0.26978
2.2185	-0.043974	-0.096383	-0.14762	-0.19328	-0.23326	-0.27188
2.2174	-0.042203	-0.094693	-0.14678	-0.19323	-0.23037	-0.26608
2.2163	-0.040814	-0.094764	-0.14611	-0.19149	-0.23118	-0.27148
2.2152	-0.041397	-0.095219	-0.14674	-0.19167	-0.23187	-0.26908
2.2141	-0.039798	-0.094334	-0.14457	-0.18981	-0.23033	-0.26694
2.213	-0.042509	-0.095579	-0.14594	-0.19159	-0.22995	-0.2683
2.2119	-0.041173	-0.095399	-0.14434	-0.19071	-0.23152	-0.26907
2.2108	-0.041471	-0.098245	-0.14814	-0.19296	-0.23139	-0.26971
2.2097	-0.041379	-0.095476	-0.14466	-0.19379	-0.22997	-0.26696
2.2086	-0.043185	-0.094826	-0.14606	-0.18894	-0.2279	-0.26726
2.2075	-0.043367	-0.095199	-0.14574	-0.18954	-0.22861	-0.26638
2.2064	-0.0412	-0.097269	-0.14258	-0.1919	-0.22863	-0.26848
2.2054	-0.04025	-0.094505	-0.14286	-0.19089	-0.22904	-0.26745
2.2043	-0.041944	-0.095883	-0.14391	-0.19106	-0.22762	-0.26549
2.2032	-0.042747	-0.097062	-0.14394	-0.19114	-0.23155	-0.26862
2.2021	-0.039201	-0.095375	-0.14472	-0.18865	-0.22824	-0.26586
2.201	-0.044141	-0.095374	-0.14224	-0.18973	-0.22805	-0.2659
2.1999	-0.040542	-0.096613	-0.14293	-0.18958	-0.23054	-0.26736
2.1988	-0.040327	-0.09396	-0.14332	-0.18932	-0.22648	-0.26581
2.1977	-0.043093	-0.096182	-0.14236	-0.18942	-0.22591	-0.26327
2.1967	-0.042824	-0.095245	-0.14453	-0.18919	-0.22489	-0.26513
2.1956	-0.04187	-0.096023	-0.1412	-0.18696	-0.22816	-0.26411
2.1945	-0.044238	-0.098069	-0.14452	-0.18862	-0.22822	-0.26699
2.1934	-0.041219	-0.093741	-0.14458	-0.18995	-0.22662	-0.26431
2.1923	-0.040514	-0.096405	-0.14058	-0.18929	-0.2254	-0.26567
2.1913	-0.041507	-0.095584	-0.14297	-0.18727	-0.22525	-0.2637
2.1902	-0.04023	-0.09407	-0.13988	-0.18655	-0.2275	-0.26366
2.1891	-0.042738	-0.094317	-0.14355	-0.18787	-0.22721	-0.26488
2.188	-0.03926	-0.094165	-0.14218	-0.18788	-0.22839	-0.26465
2.187	-0.040819	-0.095634	-0.14086	-0.18835	-0.22511	-0.26464
2.1859	-0.043069	-0.096974	-0.14307	-0.18938	-0.22694	-0.26157
2.1848	-0.042601	-0.094047	-0.14133	-0.18785	-0.22676	-0.26286
2.1837	-0.040749	-0.093172	-0.13966	-0.18743	-0.22243	-0.26077
2.1827	-0.041806	-0.093664	-0.14186	-0.18646	-0.22585	-0.26118
2.1816	-0.040887	-0.097362	-0.14332	-0.18633	-0.22318	-0.2641
2.1805	-0.043716	-0.095466	-0.14216	-0.18723	-0.22423	-0.26182
2.1795	-0.042243	-0.09452	-0.14156	-0.1898	-0.22229	-0.26279
2.1784	-0.040545	-0.094102	-0.14368	-0.18477	-0.22253	-0.26186
2.1773	-0.04119	-0.092225	-0.13943	-0.186	-0.22178	-0.25897
2.1763	-0.040305	-0.095761	-0.14195	-0.18759	-0.22196	-0.26262
2.1752	-0.040845	-0.094246	-0.13989	-0.18453	-0.22313	-0.26086
2.1742	-0.042844	-0.095002	-0.14215	-0.18814	-0.22193	-0.26193
2.1731	-0.042837	-0.095956	-0.14403	-0.18883	-0.22411	-0.2613
2.172	-0.043725	-0.094099	-0.14457	-0.18812	-0.22277	-0.2616
2.171	-0.046385	-0.093159	-0.13932	-0.18709	-0.22342	-0.25916
2.1699	-0.039845	-0.094661	-0.13923	-0.1882	-0.2217	-0.26047
2.1689	-0.038936	-0.094153	-0.13948	-0.18586	-0.22192	-0.2592
2.1678	-0.041833	-0.093594	-0.13901	-0.1873	-0.22137	-0.25669
2.1668	-0.042475	-0.095098	-0.13922	-0.18852	-0.22198	-0.2615
2.1657	-0.04071	-0.094752	-0.14088	-0.18632	-0.2225	-0.25845
2.1647	-0.040237	-0.093141	-0.14152	-0.18619	-0.22001	-0.25833
2.1636	-0.039746	-0.093692	-0.1398	-0.18574	-0.21937	-0.25906
2.1626	-0.041982	-0.09217	-0.1405	-0.18477	-0.21996	-0.25776
2.1615	-0.044165	-0.091662	-0.14116	-0.18526	-0.22168	-0.26032
2.1605	-0.041919	-0.092436	-0.13953	-0.18604	-0.2181	-0.2585
2.1594	-0.041824	-0.093488	-0.14043	-0.18452	-0.22031	-0.257
2.1584	-0.043434	-0.092251	-0.14123	-0.18597	-0.2215	-0.25776
2.1573	-0.039498	-0.093736	-0.14138	-0.18677	-0.22042	-0.25865
2.1563	-0.039311	-0.090534	-0.13567	-0.18345	-0.21745	-0.25771
2.1552	-0.040868	-0.092978	-0.13943	-0.18472	-0.21826	-0.25654
2.1542	-0.03862	-0.090656	-0.13947	-0.18324	-0.21773	-0.25528
2.1532	-0.040104	-0.090583	-0.13922	-0.18441	-0.21892	-0.25634
2.1521	-0.04102	-0.095362	-0.13843	-0.18349	-0.21734	-0.25743
2.1511	-0.041094	-0.092423	-0.14107	-0.18567	-0.21738	-0.25925
2.1501	-0.042691	-0.092558	-0.13972	-0.18251	-0.21696	-0.25411
2.149	-0.040704	-0.090862	-0.13745	-0.18209	-0.21536	-0.25286
2.148	-0.040075	-0.091535	-0.13752	-0.18414	-0.21524	-0.25444
2.1469	-0.042191	-0.090024	-0.13811	-0.18394	-0.21491	-0.25491
2.1459	-0.039381	-0.092198	-0.13549	-0.18302	-0.21734	-0.2543
2.1449	-0.037181	-0.090165	-0.13797	-0.18364	-0.21575	-0.2544
2.1439	-0.042039	-0.091415	-0.13784	-0.18309	-0.21788	-0.2507
2.1428	-0.041185	-0.093221	-0.13718	-0.18286	-0.21725	-0.2561
2.1418	-0.039847	-0.091343	-0.13581	-0.18159	-0.21576	-0.25254
2.1408	-0.039427	-0.090627	-0.13615	-0.18156	-0.21525	-0.25067
2.1397	-0.039081	-0.091092	-0.13703	-0.18177	-0.21469	-0.25252
2.1387	-0.038935	-0.090399	-0.13761	-0.18091	-0.21575	-0.25077
2.1377	-0.041451	-0.090935	-0.13818	-0.18062	-0.21633	-0.25074
2.1367	-0.042115	-0.09094	-0.13614	-0.183	-0.21188	-0.25134
2.1356	-0.038218	-0.090253	-0.13714	-0.17986	-0.21446	-0.25237
2.1346	-0.039029	-0.086682	-0.13397	-0.18017	-0.21387	-0.24757
2.1336	-0.037797	-0.088372	-0.13445	-0.17967	-0.21198	-0.25062
2.1326	-0.038377	-0.08778	-0.13551	-0.1801	-0.21317	-0.24994
2.1316	-0.038139	-0.092836	-0.13606	-0.18079	-0.21403	-0.25201
2.1305	-0.0394	-0.089182	-0.13519	-0.17931	-0.21087	-0.25258
2.1295	-0.039242	-0.087424	-0.13448	-0.17771	-0.21391	-0.25145
2.1285	-0.039882	-0.09007	-0.13339	-0.17759	-0.21319	-0.25014
2.1275	-0.037559	-0.089175	-0.13516	-0.17907	-0.21319	-0.24961
2.1265	-0.039078	-0.086982	-0.1331	-0.17805	-0.21388	-0.24952
2.1255	-0.040384	-0.0889	-0.13426	-0.18009	-0.21259	-0.24731
2.1245	-0.035922	-0.089754	-0.13564	-0.18003	-0.20979	-0.25014
2.1235	-0.03914	-0.088735	-0.13315	-0.1809	-0.21113	-0.24741
2.1224	-0.04004	-0.088561	-0.13537	-0.1819	-0.21307	-0.24853
2.1214	-0.04012	-0.086273	-0.13471	-0.17965	-0.21192	-0.24823
2.1204	-0.037614	-0.086239	-0.13502	-0.17757	-0.21356	-0.24584
2.1194	-0.040695	-0.087332	-0.13224	-0.17847	-0.21102	-0.24877
2.1184	-0.039825	-0.087839	-0.13264	-0.1772	-0.21264	-0.24596
2.1174	-0.036909	-0.087618	-0.13366	-0.17596	-0.21192	-0.2474
2.1164	-0.040631	-0.088788	-0.13427	-0.17669	-0.21158	-0.24725
2.1154	-0.03657	-0.088697	-0.13226	-0.17609	-0.2094	-0.24709
2.1144	-0.039895	-0.087585	-0.13303	-0.17766	-0.21052	-0.24621
2.1134	-0.03792	-0.086156	-0.13155	-0.17477	-0.20945	-0.24682
2.1124	-0.037546	-0.087293	-0.13298	-0.17667	-0.20773	-0.2448
2.1114	-0.038027	-0.087309	-0.13306	-0.1771	-0.20808	-0.24609
2.1104	-0.039513	-0.088831	-0.13253	-0.17821	-0.20982	-0.24497
2.1094	-0.038054	-0.086609	-0.13051	-0.17637	-0.21339	-0.24507
2.1084	-0.041037	-0.088221	-0.13226	-0.17431	-0.21072	-0.24522
2.1074	-0.038573	-0.089285	-0.13355	-0.17479	-0.2104	-0.24573
2.1064	-0.036184	-0.086412	-0.13175	-0.17656	-0.21029	-0.24523
2.1054	-0.037197	-0.087687	-0.12912	-0.17382	-0.2088	-0.24357
2.1044	-0.040037	-0.089043	-0.13096	-0.17487	-0.21031	-0.24173
2.1034	-0.037311	-0.086562	-0.13109	-0.17379	-0.20926	-0.24366
2.1025	-0.038943	-0.088975	-0.12905	-0.17299	-0.20839	-0.24306
2.1015	-0.037947	-0.090205	-0.1331	-0.1724	-0.21116	-0.24324
2.1005	-0.038181	-0.088574	-0.1306	-0.17358	-0.21137	-0.24518
2.0995	-0.035853	-0.085963	-0.12881	-0.17517	-0.2084	-0.24427
2.0985	-0.039272	-0.086573	-0.13114	-0.17664	-0.21043	-0.24362
2.0975	-0.03658	-0.086966	-0.13128	-0.1743	-0.2078	-0.24401
2.0965	-0.037565	-0.086424	-0.13182	-0.17366	-0.20671	-0.24284
2.0956	-0.041899	-0.087902	-0.12915	-0.17575	-0.21038	-0.24372
2.0946	-0.036863	-0.086129	-0.13219	-0.17291	-0.20551	-0.24324
2.0936	-0.039086	-0.086134	-0.1291	-0.17306	-0.20812	-0.24134
2.0926	-0.040773	-0.086639	-0.13078	-0.17266	-0.20728	-0.24022
2.0916	-0.037995	-0.087366	-0.129	-0.17406	-0.20764	-0.24309
2.0907	-0.036196	-0.085769	-0.12974	-0.17163	-0.20619	-0.24108
2.0897	-0.039181	-0.08632	-0.12895	-0.17374	-0.20774	-0.24271
2.0887	-0.037743	-0.088231	-0.13055	-0.17167	-0.20733	-0.24348
2.0877	-0.037753	-0.085089	-0.1296	-0.17198	-0.20656	-0.23968
2.0867	-0.039407	-0.087704	-0.12925	-0.17163	-0.20553	-0.24154
2.0858	-0.037236	-0.086129	-0.13003	-0.17412	-0.20737	-0.24368
2.0848	-0.037	-0.084726	-0.12605	-0.17378	-0.20521	-0.24088
2.0838	-0.038246	-0.087739	-0.12779	-0.17304	-0.20596	-0.23933
2.0829	-0.03726	-0.087389	-0.12984	-0.17013	-0.20652	-0.2424
2.0819	-0.037842	-0.085535	-0.12906	-0.17108	-0.20629	-0.24181
2.0809	-0.042492	-0.088854	-0.12953	-0.17223	-0.20695	-0.24218
2.0799	-0.040408	-0.0878	-0.13108	-0.17313	-0.20608	-0.24569
2.079	-0.036232	-0.086013	-0.1268	-0.17282	-0.2067	-0.23844
2.078	-0.03953	-0.085436	-0.12817	-0.17236	-0.20388	-0.24096
2.077	-0.038615	-0.086114	-0.13041	-0.1717	-0.20796	-0.24114
2.0761	-0.03834	-0.088085	-0.13095	-0.17265	-0.20654	-0.23865
2.0751	-0.039791	-0.086294	-0.12817	-0.17196	-0.2052	-0.24077
2.0742	-0.037063	-0.087547	-0.12818	-0.17119	-0.20411	-0.24165
2.0732	-0.038973	-0.087102	-0.12974	-0.17208	-0.20206	-0.24101
2.0722	-0.040835	-0.088903	-0.132	-0.17282	-0.20624	-0.24054
2.0713	-0.038213	-0.085542	-0.12581	-0.17235	-0.20608	-0.24049
2.0703	-0.038687	-0.085856	-0.13193	-0.17048	-0.2046	-0.24163
2.0694	-0.038626	-0.087043	-0.12808	-0.17206	-0.20347	-0.23935
2.0684	-0.039635	-0.085258	-0.12955	-0.17252	-0.20481	-0.24023
2.0674	-0.038493	-0.086677	-0.13049	-0.17067	-0.20601	-0.24043
2.0665	-0.040948	-0.086624	-0.12614	-0.1709	-0.20415	-0.24064
2.0655	-0.039553	-0.084769	-0.1289	-0.17108	-0.2025	-0.2389
2.0646	-0.038985	-0.086825	-0.12931	-0.17056	-0.2034	-0.24015
2.0636	-0.040309	-0.08505	-0.12593	-0.16974	-0.20325	-0.23706
2.0627	-0.038641	-0.08542	-0.12779	-0.17064	-0.20407	-0.24038
2.0617	-0.039853	-0.082915	-0.12819	-0.17097	-0.20348	-0.23803
2.0608	-0.037394	-0.084714	-0.12786	-0.16522	-0.20152	-0.23789
2.0598	-0.040399	-0.083803	-0.12692	-0.16869	-0.20534	-0.24057
2.0589	-0.038109	-0.087448	-0.12793	-0.17067	-0.20306	-0.23922
2.0579	-0.037096	-0.084167	-0.12542	-0.17029	-0.20258	-0.23967
